1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,16 - Latitude (decimal),17 - Longitude (decimal),59 - Superstructure Condition Rating,60 - Substructure Condition Rating,62 - Culverts Condition Rating,63 - Operating Rating Method Code,64 - Operating Rating (US tons),58 - Deck Condition Rating,66 - Inventory Rating (US tons)
31,'Nebraska',C005303505     ,'County Highway Agency',41.1267,-103.74,'8','7','N','0',36.4,'5',26.5
31,'Nebraska',S026 03470     ,'State Highway Agency',41.8148,-103.4651,'8','8','N','3',77.2,'8',48.5
31,'Nebraska',C007931610P    ,'County Highway Agency',41.8958,-103.4343,'5','5','N','2',16.5,'5',11
31,'Nebraska',S071 02267     ,'State Highway Agency',41.3242,-103.6639,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',C007972610     ,'County Highway Agency',41.83,-103.4617,'8','7','N','1',88.2,'7',52.9
31,'Nebraska',C007916525     ,'County Highway Agency',41.8865,-103.4405,'5','6','N','0',36.4,'5',24.3
31,'Nebraska',S002 05734     ,'State Highway Agency',42.3226,-103.2645,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',C007932410     ,'County Highway Agency',41.844,-103.4615,'3','6','N','2',0,'3',0
31,'Nebraska',C007931640     ,'County Highway Agency',41.9033,-103.4383,'8','7','N','2',29.8,'7',26.5
31,'Nebraska',C007942230     ,'County Highway Agency',41.8583,-103.4583,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',S080 01762     ,'State Highway Agency',41.2053,-103.7205,'8','8','N','1',48.5,'8',26.5
31,'Nebraska',C007916530     ,'County Highway Agency',41.907,-103.4398,'8','8','N','1',35.3,'7',20.9
31,'Nebraska',C007905905     ,'County Highway Agency',41.7631,-103.4984,'7','7','N','2',13.2,'7',8.8
31,'Nebraska',S030 01931     ,'State Highway Agency',41.2395,-103.7087,'7','7','N','1',82.7,'7',49.6
31,'Nebraska',C007946305     ,'County Highway Agency',41.8721,-103.4599,'5','7','N','2',14.3,'6',8.8
31,'Nebraska',C007916535     ,'County Highway Agency',41.925,-103.44,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',C007941468     ,'County Highway Agency',41.9168,-103.4434,'8','7','N','2',35.3,'7',29.8
31,'Nebraska',C007941467     ,'County Highway Agency',41.9168,-103.444,'8','7','N','2',35.3,'7',29.8
31,'Nebraska',S020 05559     ,'State Highway Agency',42.8282,-103.077,'7','7','N','1',80.5,'8',47.4
31,'Nebraska',S385 17232     ,'State Highway Agency',42.8568,-103.0671,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',C007941465     ,'County Highway Agency',41.9168,-103.4551,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',S088 02801     ,'State Highway Agency',41.5837,-103.5901,'6','7','N','1',45.2,'6',26.5
31,'Nebraska',S030 01816     ,'State Highway Agency',41.2371,-103.7305,'N','N','7','0',47.4,'N',36.4
31,'Nebraska',S071 02827     ,'State Highway Agency',41.4051,-103.6643,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007906115     ,'County Highway Agency',41.865,-103.48,'8','7','N','0',36.4,'6',24.3
31,'Nebraska',S385 17434     ,'State Highway Agency',42.8861,-103.0668,'8','8','N','1',77.2,'8',46.3
31,'Nebraska',C007913615     ,'County Highway Agency',41.7563,-103.53,'5','7','N','2',12.1,'5',7.7
31,'Nebraska',S092 03290     ,'State Highway Agency',41.7848,-103.5205,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',S071 03072     ,'State Highway Agency',41.44,-103.6593,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',SL79E00145     ,'State Highway Agency',41.7894,-103.5191,'7','5','N','1',66.1,'7',38.6
31,'Nebraska',SL79E00127     ,'State Highway Agency',41.7923,-103.5191,'6','7','N','1',50.7,'7',29.8
31,'Nebraska',S385 17527     ,'State Highway Agency',42.8995,-103.0666,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',S071 03137     ,'State Highway Agency',41.4492,-103.6593,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',C007906120     ,'County Highway Agency',41.9032,-103.4807,'6','7','N','2',26.5,'5',17.6
31,'Nebraska',C002322210     ,'County Highway Agency',42.8574,-103.0894,'9','9','N','3',51.8,'9',39.7
31,'Nebraska',S071 03309     ,'State Highway Agency',41.4743,-103.6585,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007925910     ,'County Highway Agency',41.8733,-103.4983,'5','7','N','0',36.4,'5',24.3
31,'Nebraska',C002302705     ,'County Highway Agency',42.5058,-103.2441,'8','8','N','1',47.4,'6',27.6
31,'Nebraska',S088 02616     ,'State Highway Agency',41.5828,-103.6257,'7','7','N','1',37.5,'7',23.1
31,'Nebraska',C007941460     ,'County Highway Agency',41.9167,-103.4915,'N','N','7','0',41.9,'N',36.4
31,'Nebraska',S071 11336     ,'State Highway Agency',42.3698,-103.3081,'N','N','8','0',47.4,'N',36.4
31,'Nebraska',S020 05242     ,'State Highway Agency',42.8091,-103.1327,'8','7','N','1',63.9,'8',37.5
31,'Nebraska',C005323605     ,'County Highway Agency',41.1483,-103.8067,'8','8','N','1',59.5,'8',35.3
31,'Nebraska',C007941455     ,'County Highway Agency',41.9167,-103.499,'8','7','N','1',80.5,'6',48.5
31,'Nebraska',C005314605     ,'County Highway Agency',41.09,-103.8317,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007910810P    ,'County Highway Agency',41.9488,-103.4877,'8','8','N','1',36.4,'5',20.9
31,'Nebraska',C007915715     ,'County Highway Agency',41.8767,-103.5183,'6','6','N','1',87.1,'6',51.8
31,'Nebraska',C002302605     ,'County Highway Agency',42.8282,-103.131,'4','4','N','2',8.8,'5',5.5
31,'Nebraska',S080 01346     ,'State Highway Agency',41.1918,-103.7974,'8','7','N','1',39.7,'8',23.1
31,'Nebraska',S385 17857     ,'State Highway Agency',42.9401,-103.0879,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',C005313105     ,'County Highway Agency',41.255,-103.7783,'7','6','N','1',108,'5',65
31,'Nebraska',S071 11727     ,'State Highway Agency',42.4278,-103.3084,'8','7','N','3',67.2,'7',41.9
31,'Nebraska',C005312905     ,'County Highway Agency',41.2268,-103.7973,'8','8','N','1',49.6,'5',29.8
31,'Nebraska',C007915510     ,'County Highway Agency',41.88,-103.5383,'8','7','N','1',38.6,'8',23.1
31,'Nebraska',C005301005     ,'County Highway Agency',41.3361,-103.7579,'7','7','N','1',26.5,'5',15.4
31,'Nebraska',S020 05050     ,'State Highway Agency',42.7941,-103.1645,'8','7','N','1',63.9,'8',38.6
31,'Nebraska',C002307805P    ,'County Highway Agency',42.4442,-103.3137,'6','6','N','1',33.1,'5',19.8
31,'Nebraska',C007915720     ,'County Highway Agency',41.9456,-103.5193,'6','8','N','0',36.4,'5',24.3
31,'Nebraska',C002323505     ,'County Highway Agency',42.8117,-103.1667,'8','8','N','1',95.9,'7',57.3
31,'Nebraska',S071 03987     ,'State Highway Agency',41.568,-103.6767,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C002312610P    ,'County Highway Agency',42.82,-103.1668,'6','5','N','2',20.9,'5',12.1
31,'Nebraska',C005314603     ,'County Highway Agency',41.09,-103.87,'N','N','4','0',46.3,'N',36.4
31,'Nebraska',C007915725     ,'County Highway Agency',41.9649,-103.5197,'7','7','N','2',23.1,'6',16.5
31,'Nebraska',C007925310     ,'County Highway Agency',41.8773,-103.5581,'8','7','N','1',48.5,'6',28.7
31,'Nebraska',SS04A00038     ,'State Highway Agency',41.5682,-103.6841,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',C005311905     ,'County Highway Agency',41.0498,-103.8925,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C000404005     ,'County Highway Agency',41.4225,-103.7445,'7','7','N','1',43,'7',25.4
31,'Nebraska',C002303005     ,'County Highway Agency',42.7991,-103.1838,'8','8','N','1',72.8,'8',43
31,'Nebraska',C007961235     ,'County Highway Agency',41.9317,-103.5433,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',S071 11957     ,'State Highway Agency',42.456,-103.33,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',SS04A00085     ,'State Highway Agency',41.568,-103.6932,'6','7','N','1',89.3,'6',52.9
31,'Nebraska',S071 04315R    ,'State Highway Agency',41.6156,-103.6763,'6','7','N','1',75,'6',45.2
31,'Nebraska',S071 04315L    ,'State Highway Agency',41.6155,-103.6765,'6','7','N','1',75,'6',45.2
31,'Nebraska',S026 02807     ,'State Highway Agency',41.8344,-103.5885,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007925515     ,'County Highway Agency',41.96,-103.5383,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',S020 04813     ,'State Highway Agency',42.7772,-103.2051,'8','6','N','1',45.2,'8',26.5
31,'Nebraska',C007904705     ,'County Highway Agency',41.7783,-103.6167,'7','7','N','1',86,'6',50.7
31,'Nebraska',C007915110     ,'County Highway Agency',41.88,-103.5767,'8','8','N','1',35.3,'7',20.9
31,'Nebraska',S071 04512R    ,'State Highway Agency',41.6441,-103.6762,'7','7','N','1',70.5,'7',41.9
31,'Nebraska',S071 04512L    ,'State Highway Agency',41.644,-103.6764,'8','7','N','1',70.5,'8',41.9
31,'Nebraska',S088 01936     ,'State Highway Agency',41.6417,-103.6789,'7','6','N','1',77.2,'7',46.3
31,'Nebraska',S030 01221     ,'State Highway Agency',41.2325,-103.8431,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007925320     ,'County Highway Agency',41.9533,-103.5583,'N','N','8','1',99.2,'N',65
31,'Nebraska',C007904505     ,'County Highway Agency',41.775,-103.635,'8','8','N','1',99.2,'6',88.2
31,'Nebraska',S071 04719     ,'State Highway Agency',41.6741,-103.6767,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007913810     ,'County Highway Agency',41.7418,-103.6496,'6','6','N','2',26.5,'5',18.7
31,'Nebraska',C005322910     ,'County Highway Agency',41.38,-103.7967,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',S092 02714     ,'State Highway Agency',41.818,-103.623,'8','8','N','1',76.1,'8',46.3
31,'Nebraska',C002322905     ,'County Highway Agency',42.7867,-103.2267,'7','7','N','1',43,'7',25.4
31,'Nebraska',C007903420     ,'County Highway Agency',41.77,-103.6433,'7','7','N','1',99.2,'7',91.5
31,'Nebraska',C007961230     ,'County Highway Agency',41.9333,-103.5783,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C002314410     ,'County Highway Agency',42.6974,-103.2677,'9','9','N','3',48.5,'9',37.5
31,'Nebraska',C007934910     ,'County Highway Agency',41.8933,-103.5967,'8','7','N','0',36.4,'7',24.3
31,'Nebraska',C007934915     ,'County Highway Agency',41.8967,-103.5967,'8','7','N','0',36.4,'7',24.3
31,'Nebraska',C002313205     ,'County Highway Agency',42.785,-103.2333,'7','7','N','1',77.2,'5',46.3
31,'Nebraska',C002304610P    ,'County Highway Agency',42.6797,-103.2783,'7','6','N','2',9.9,'5',5.5
31,'Nebraska',C007934920     ,'County Highway Agency',41.9033,-103.5967,'8','8','N','1',99.2,'7',83.8
31,'Nebraska',C000402010     ,'County Highway Agency',41.553,-103.861,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',S071 05911R    ,'State Highway Agency',41.8205,-103.6303,'8','8','N','3',45.2,'8',35.3
31,'Nebraska',C007940830     ,'County Highway Agency',41.9617,-103.5733,'8','8','N','1',43,'7',25.4
31,'Nebraska',S071 05911L    ,'State Highway Agency',41.8206,-103.6305,'8','8','N','3',45.2,'7',35.3
31,'Nebraska',C007904510     ,'County Highway Agency',41.81,-103.635,'8','8','N','0',36.4,'7',24.3
31,'Nebraska',C007913215     ,'County Highway Agency',41.7854,-103.6451,'8','8','N','0',36.4,'5',24.3
31,'Nebraska',S071 05865     ,'State Highway Agency',41.8148,-103.634,'N','N','8','0',47.4,'N',36.4
31,'Nebraska',S071 05850R    ,'State Highway Agency',41.813,-103.636,'8','7','N','3',48.5,'8',37.5
31,'Nebraska',S071 05850L    ,'State Highway Agency',41.8132,-103.636,'9','8','N','3',48.5,'8',37.5
31,'Nebraska',C007914320     ,'County Highway Agency',41.7717,-103.6533,'8','8','N','1',57.3,'8',34.2
31,'Nebraska',C007904513     ,'County Highway Agency',41.8148,-103.6361,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C005304410     ,'County Highway Agency',41.105,-103.92,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C000402905     ,'County Highway Agency',41.4302,-103.7933,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007902205P    ,'County Highway Agency',41.8453,-103.6255,'7','7','N','1',49.6,'5',29.8
31,'Nebraska',C007923015     ,'County Highway Agency',41.7833,-103.645,'8','8','N','1',66.1,'6',38.6
31,'Nebraska',S020 04527     ,'State Highway Agency',42.7573,-103.2544,'8','7','N','1',56.2,'8',34.2
31,'Nebraska',C007914325     ,'County Highway Agency',41.7817,-103.6533,'6','7','N','1',49.6,'6',29.8
31,'Nebraska',S071 06165     ,'State Highway Agency',41.8527,-103.6263,'N','N','7','0',47.4,'N',36.4
31,'Nebraska',S026 02559     ,'State Highway Agency',41.8541,-103.6264,'N','N','8','0',47.4,'N',36.4
31,'Nebraska',C000402910     ,'County Highway Agency',41.4436,-103.7933,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007904305P    ,'County Highway Agency',41.815,-103.6433,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',S080 00846     ,'State Highway Agency',41.1918,-103.893,'8','7','N','1',49.6,'6',28.7
31,'Nebraska',C007942225     ,'County Highway Agency',41.8597,-103.6265,'7','8','N','1',57.3,'7',34.2
31,'Nebraska',S071 06050R    ,'State Highway Agency',41.8392,-103.6354,'8','6','N','3',57.3,'8',40.8
31,'Nebraska',S071 06050L    ,'State Highway Agency',41.8391,-103.6356,'8','6','N','3',57.3,'8',40.8
31,'Nebraska',C007914330     ,'County Highway Agency',41.7925,-103.6549,'8','4','N','0',36.4,'5',24.3
31,'Nebraska',C000402210     ,'County Highway Agency',41.5529,-103.7513,'N','N','6','0',36.4,'N',24.3
31,'Nebraska',C007904514     ,'County Highway Agency',41.8393,-103.6363,'8','8','N','1',91.5,'8',54
31,'Nebraska',C002322510P    ,'County Highway Agency',42.7882,-103.2485,'7','7','N','2',24.3,'5',16.5
31,'Nebraska',S071 06113R    ,'State Highway Agency',41.848,-103.6341,'8','8','N','3',54,'8',36.4
31,'Nebraska',S071 05185     ,'State Highway Agency',41.7354,-103.6798,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',S071 06113L    ,'State Highway Agency',41.848,-103.6344,'8','8','N','3',54,'7',36.4
